codigo_postal,provincia,municipio_nombre,poblacion_actual,poblacion_hace_5a,crecimiento_%,supera_20k,crecimiento_positivo,precio_m2,variacion_anual_%,variacion_maximo_%,en_maximo_historico,precio_anual_positivo,fuente_precio,tiene_supermercado,tiene_colegio,tiene_instituto,tiene_universidad,tiene_centro_salud,tiene_todos_servicios,tiene_mercadona
03690,Alicante/Alacant,Sant Vicent del Raspeig/San Vicente del Raspeig,60247.0,58978.0,2.15,True,True,1630.450337,,,False,False,notariado,False,True,False,False,True,False,True
46470,Valencia/València,"Albal, Catarroja, Massanassa",58576.0,54967.0,6.57,True,True,1249.414527,29.41,0.0,True,True,notariado,True,True,True,False,True,False,True
03600,Alicante/Alacant,Elda,55222.0,52813.0,4.56,True,True,780.563048,27.63,-16.59,False,True,notariado,False,True,False,False,True,False,True
12540,Castellón/Castelló,Vila-real,53623.0,51293.0,4.54,True,True,1017.934423,,,False,False,notariado,True,True,False,False,True,False,True
12530,Castellón/Castelló,"Benicarló, Borriana/Burriana",53063.0,48733.5,8.88,True,True,934.995929,-2.34,-2.34,False,False,notariado,True,True,False,False,True,False,True
46910,Valencia/València,"Alfafar, Benetússer, Llocnou de la Corona, Sedaví",49973.0,46910.0,6.53,True,True,1296.039964,,,False,False,notariado,True,True,True,False,True,False,True
36690,Pontevedra,"Pontevedra, Soutomaior",48852.833333333336,48732.42857142857,0.25,True,True,1231.974481,22.59,0.0,True,True,notariado,False,True,False,False,True,False,False
46920,Valencia/València,Mislata,47079.0,44320.0,6.23,True,True,2050.121714,23.93,-20.15,False,True,notariado,True,True,False,False,False,False,True
36164,Pontevedra,Pontevedra,45058.333333333336,45019.42857142857,0.09,True,True,1596.807772,22.59,0.0,True,True,notariado,False,False,False,False,False,False,True
36150,Pontevedra,Pontevedra,45058.333333333336,45019.42857142857,0.09,True,True,497.26477,22.59,0.0,True,True,notariado,False,False,False,False,False,False,False
36143,Pontevedra,Pontevedra,45058.333333333336,45019.42857142857,0.09,True,True,542.082662,22.59,0.0,True,True,notariado,True,False,False,False,False,False,True
36005,Pontevedra,Pontevedra,45058.333333333336,45019.42857142857,0.09,True,True,1551.628369,22.59,0.0,True,True,notariado,True,True,True,False,False,False,True
36151,Pontevedra,Pontevedra,45058.333333333336,45019.42857142857,0.09,True,True,2083.6,22.59,0.0,True,True,mivau,False,False,False,False,False,False,False
36004,Pontevedra,Pontevedra,45058.333333333336,45019.42857142857,0.09,True,True,1904.598149,22.59,0.0,True,True,notariado,False,True,False,False,True,False,True
36003,Pontevedra,Pontevedra,45058.333333333336,45019.42857142857,0.09,True,True,2191.014489,22.59,0.0,True,True,notariado,False,True,True,False,False,False,True
